EntrezGeneId,UniProtID
30012,http://www.uniprot.org/uniprot/O43711
55654,http://www.uniprot.org/uniprot/O75204
7113,http://www.uniprot.org/uniprot/O15393
7128,http://www.uniprot.org/uniprot/P21580
8764,http://www.uniprot.org/uniprot/Q92956
608,http://www.uniprot.org/uniprot/Q02223
7150,http://www.uniprot.org/uniprot/P11387
7157,http://www.uniprot.org/uniprot/P04637
8626,http://www.uniprot.org/uniprot/Q9H3D4
7170,http://www.uniprot.org/uniprot/P06753
7171,http://www.uniprot.org/uniprot/P67936
7175,http://www.uniprot.org/uniprot/P12270
6955,
84231,http://www.uniprot.org/uniprot/Q6Q0C0
6957,
6964,
8805,http://www.uniprot.org/uniprot/O15164
5987,http://www.uniprot.org/uniprot/P14373
51592,http://www.uniprot.org/uniprot/Q9UPN9
9321,http://www.uniprot.org/uniprot/Q15643
8295,http://www.uniprot.org/uniprot/Q9Y4A5
7248,http://www.uniprot.org/uniprot/Q92574
7249,http://www.uniprot.org/uniprot/P49815
7253,http://www.uniprot.org/uniprot/P16473
7307,"http://www.uniprot.org/uniprot/Q01081,http://www.uniprot.org/uniprot/P0DN76"
51366,http://www.uniprot.org/uniprot/O95071
9098,http://www.uniprot.org/uniprot/P35125
9101,http://www.uniprot.org/uniprot/P40818
7428,http://www.uniprot.org/uniprot/P40337
7454,http://www.uniprot.org/uniprot/P42768
7468,http://www.uniprot.org/uniprot/O96028
54904,http://www.uniprot.org/uniprot/Q9BZ95
11197,http://www.uniprot.org/uniprot/Q9Y5W5
7486,http://www.uniprot.org/uniprot/Q14191
7490,http://www.uniprot.org/uniprot/P19544
25937,http://www.uniprot.org/uniprot/Q9GZV5
7507,http://www.uniprot.org/uniprot/P23025
7508,http://www.uniprot.org/uniprot/Q01831
7514,http://www.uniprot.org/uniprot/O14980
7531,http://www.uniprot.org/uniprot/P62258
7704,http://www.uniprot.org/uniprot/Q05516
463,http://www.uniprot.org/uniprot/Q15911
7750,http://www.uniprot.org/uniprot/Q9UBW7
23598,http://www.uniprot.org/uniprot/Q9HBE1
55422,http://www.uniprot.org/uniprot/Q9NQX6
171017,http://www.uniprot.org/uniprot/Q8TF68
25925,http://www.uniprot.org/uniprot/Q96K83
8233,http://www.uniprot.org/uniprot/Q15696
